Ticker: IBM  Created on: 11/9/2016 9:30:09 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20160304, 137.539993, 139.419998, 137.020004, 137.800003, 3968400, 134.097668, 0, 1, 135.8188305, -999
20160303, 137.220001, 137.960007, 136.070007, 137.800003, 5156400, 134.097668, 0, 1, 135.6588345, -999
20160302, 133.699997, 137.440002, 133.220001, 136.300003, 5217200, 132.63797, 0, 1, 133.1689835, -999
20160301, 132.240005, 134.639999, 132.029999, 134.369995, 3788500, 130.759816, 0, 1, 131.4999105, -999
20160229, 132, 133.360001, 130.899994, 131.029999, 4428000, 127.509557, 0, 1, 129.7547785, -999
20160226, 134.509995, 134.919998, 131.949997, 132.029999, 4386200, 128.482689, 0, 1, 131.496342, -999
20160225, 133.289993, 134.509995, 130.880005, 134.5, 4358300, 130.886328, 0, 1, 132.0881605, -999
20160224, 131.550003, 133.490005, 129.679993, 132.800003, 4122600, 129.232006, 0, 1, 130.3910045, -999
20160223, 133.139999, 133.410004, 132.009995, 132.399994, 3439700, 128.842744, 0, 1, 130.9913715, -999
20160222, 133.080002, 134.309998, 132.410004, 133.770004, 4457400, 130.175945, 0, 1, 131.6279735, -999
20160219, 132.360001, 133.649994, 130.839996, 133.080002, 5125300, 129.504482, 0, 1, 130.9322415, -999
20160218, 130, 134, 129.75, 132.449997, 9951600, 128.891403, 0, 1, 129.4457015, -999
20160217, 123.709999, 126.57, 123.25, 126.099998, 4821000, 122.712013, 0, 1, 123.211006, -999
20160216, 121.830002, 123.089996, 121.339996, 122.739998, 4061400, 119.442287, 0, 1, 120.6361445, -999
20160212, 119.260002, 121.050003, 118.349998, 121.040001, 4936500, 117.787965, 0, 1, 118.5239835, -999
20160211, 118.779999, 119.660004, 116.900002, 117.849998, 7307600, 114.68367, 0, 1, 116.7318345, -999
20160210, 125, 125.290001, 119.839996, 120.190002, 6469100, 116.960804, 0, 1, 120.980402, -999
20160209, 126.120003, 126.93, 123.769997, 124.07, 5957200, 120.736555, 0, 1, 123.428279, -999
20160208, 126, 127.510002, 124.129997, 126.980003, 7364000, 123.568375, 0, 1, 124.7841875, -999
